Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-39756.4155235023,-7372383.723531081,3741.7962364671394,133.21117931683665,0.502160096755813,0.502160096755813,0.5476648072998446,0.5115079689572009,0.47547730977953645
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-26957.36724109982,-6350282.858431373,2873.5677018218944,132.75082192249332,0.8951006331645196,0.8951006331645196,0.9190162267124036,0.9043280708363206,0.8850348590195092
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5878.8231388402055,-1782560.6326640828,699.8617542753475,131.6654486258961,1,1,1,1,1
ZVL_85,"[80,85)",ReRZV_2d,1508497,1076164.3642254202,256736.72542993142,513473.45085986285,-18832.55063619644,-5601220.579389683,1898.052360426458,117.86599125017284,1.4178160833803624,1.4178160833803624,1.259427945888128,1.2594660014872472,1.3612472427431368
UV_85,"[80,85)",RZV_2d,1508497,432332.6357745799,76633.20777845594,153266.41555691187,-5341.307918413735,-2096831.9803683697,701.3135607292623,116.84166822253636,1.542529782510277,1.542529782510277,1.3330071741296157,1.355336394309456,1.4964811191219598
ZVL_90,"[85,90)",ReRZV_2d,940569,344866.12479836657,46888.65609583177,93777.31219166354,-3063.774951480811,-914958.9864328272,264.6234768010945,114.45425594917714,1.618836881201056,1.618836881201056,1.3752122294978721,1.391510736417598,1.555490830735197
UV_95,"[85,90)",RZV_2d,940569,595702.8752016334,80992.89910529328,161985.79821058657,-3982.0575370998076,-2011940.3986648256,572.099512058828,112.0902523587371,1.7506455884638203,1.7506455884638203,1.4300670936750373,1.4697174160338322,1.6852496772722474
UV_95,"[90,95)",RZV_2d,417138,417138,56714.87809345928,113429.75618691856,-1959.1727941326483,-1171841.367510798,297.17436460594183,109.61813719429088,1.8429439855658392,1.8429439855658392,1.45705569354344,1.510341502985518,1.760826858521508
UV_100,"[95,100)",RZV_2d,109064,109064,14828.549459375658,29657.098918751315,-320.9328132825822,-196338.89671103502,47.29879309928958,108.69915347311724,1.8670761250053884,1.8670761250053884,1.4614767059769853,1.5168073039173153,1.773489613732591
