Eligibility,Agp,Arm,N_All,N,N_Uptake,N_Doses,dRisk_HZ,dC_Med_d,dQ_All_d,Thres,Prop_Uptake,Prop_Doses,Prop_Case,Prop_dQ,Prop_dC_Med
New2023,"[65,70)",RZV_2d,2965505,640873,308563.84904958017,617127.6980991603,-39756.4155235023,-7372383.723531081,3741.7962364671394,133.21117931683665,0.502160096755813,0.502160096755813,0.5476648072998446,0.5115079689572009,0.47547730977953645
SOC,"[70,75)",RZV_2d,2662322,1054369.6604547934,241451.37207275254,482902.7441455051,-26957.36724109982,-6350282.858431373,2873.5677018218944,132.75082192249332,0.8951006331645196,0.8951006331645196,0.9190162267124036,0.9043280708363206,0.8850348590195092
SOC,"[75,80)",RZV_2d,2423598,474087.4539202733,64457.83446899298,128915.66893798596,-5878.8231388402055,-1782560.6326640828,699.8617542753475,131.6654486258961,1,1,1,1,1
ZVL_85,"[80,85)",ReRZV_1d,1508497,1076164.3642254202,146317.3595442511,146317.3595442511,-9938.810596049361,-3010729.3574645096,995.9939028285643,134.33087725532656,1.2381184304386554,1.1190592152193277,1.1369121616775857,1.1361535439488832,1.1941751201571815
UV_85,"[80,85)",RZV_1d,1508497,432332.6357745799,58780.769754324065,58780.769754324065,-3851.123624081559,-1550935.6122213425,510.30620288783507,137.0232539576246,1.33377888164877,1.1668894408243848,1.1899633447306375,1.2059130051513638,1.2942017492902456
ZVL_90,"[85,90)",ReRZV_1d,940569,344866.12479836657,46888.65609583177,46888.65609583177,-2944.8390612169187,-877760.7492832661,253.55307417272712,136.70182548486036,1.4100859803395487,1.2050429901697743,1.2305299978293558,1.2405740101331313,1.3508123836997337
UV_95,"[85,90)",RZV_1d,940569,595702.8752016334,80992.89910529328,80992.89910529328,-3874.4625330357935,-1951610.6859575743,555.8763618699235,137.98054229066025,1.541894687602313,1.2709473438011565,1.2839026862019063,1.3165629659400517,1.4766803028822764
UV_95,"[90,95)",RZV_1d,417138,417138,56714.87809345928,56714.87809345928,-1908.928499609509,-1136976.2103940595,288.5546362552843,137.41372056509204,1.6341930847043322,1.3170965423521661,1.310199145405322,1.3560087258362348,1.5500088774755927
UV_100,"[95,100)",RZV_1d,109064,109064,14828.549459375658,14828.549459375658,-313.10122573037086,-191037.32227679063,45.978819972689806,136.84619690631772,1.658325224143881,1.3291626120719404,1.3145122737444097,1.3622940848811957,1.5623297109359742
